case,enthalpy_kJkg,inlet_velocity_ms,gas_mass_flow_kgs,escaped_kgs,steam_quality_pct
Case 1,1600 -25%,20.149634,60.520000,0.019410,99.967938
Case 2,1440,21.591272,64.850000,0.020880,99.967813
Case 3,1520,24.228170,72.770000,0.024160,99.966811
Case 4,1600,26.865069,80.690000,0.016550,99.979494
Case 5,1680,29.501968,88.610000,0.018960,99.978607
Case 6,1760,32.135537,96.520000,0.026670,99.972376
