case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 6,1760,injection-5-micron,1,4.615983e-06,0.004616,0.164271,face-normal,32.135537,-32.135537,0.02667,0.03112,0.1065,outlet,bottom,,30048,50059,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":1775.0,""mass_flow_kgs"":0.02667}]","[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":2071.0,""mass_flow_kgs"":0.03112}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":7086.0,""mass_flow_kgs"":0.1065}]",1775,2071,7086,0.162353671677,
Case 6,1760,injection-28-micron,2,2.307991e-05,0.02308,0.674776,face-normal,32.135537,-32.135537,0,0.2978,0.377,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":4825.0,""mass_flow_kgs"":0.2978}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6107.0,""mass_flow_kgs"":0.377}]",0,4825,6107,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-56-micron,3,4.615983e-05,0.04616,0.839047,face-normal,32.135537,-32.135537,0,0.3798,0.4593,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":4948.0,""mass_flow_kgs"":0.3798}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5984.0,""mass_flow_kgs"":0.4593}]",0,4948,5984,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-112-micron,4,9.231966e-05,0.09232,1.688203,face-normal,32.135537,-32.135537,0,0.8175,0.8707,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5294.0,""mass_flow_kgs"":0.8175}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5638.0,""mass_flow_kgs"":0.8707}]",0,5294,5638,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-168-micron,5,0.0001384795,0.138479,1.688203,face-normal,32.135537,-32.135537,0,0.908,0.7802,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5880.0,""mass_flow_kgs"":0.908}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5052.0,""mass_flow_kgs"":0.7802}]",0,5880,5052,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-348-micron,6,0.0002861909,0.286191,20.218,face-normal,32.135537,-32.135537,0,16.22,3.998,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":8770.0,""mass_flow_kgs"":16.22}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":2162.0,""mass_flow_kgs"":3.998}]",0,8770,2162,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-562-micron,7,0.0004615983,0.461598,25.2725,face-normal,32.135537,-32.135537,0,25.24,0.03699,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10916.0,""mass_flow_kgs"":25.24}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":16.0,""mass_flow_kgs"":0.03699}]",0,10916,16,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-844-micron,8,0.0006923974,0.692397,25.2725,face-normal,32.135537,-32.135537,0,25.25,0.02543,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10921.0,""mass_flow_kgs"":25.25}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":11.0,""mass_flow_kgs"":0.02543}]",0,10921,11,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 6,1760,injection-1631-micron,9,0.001338635,1.338635,25.2725,face-normal,32.135537,-32.135537,0,25.25,0.02543,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10921.0,""mass_flow_kgs"":25.25}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":11.0,""mass_flow_kgs"":0.02543}]",0,10921,11,0,escaped_kgs set to 0; no escaped fate row in per-injection report
