case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 2,1440,injection-56-micron,3,7.14895e-05,0.071489,1.101908,face-normal,21.591272,-21.591272,0,0.5454,0.5565,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5411.0,""mass_flow_kgs"":0.5454}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5521.0,""mass_flow_kgs"":0.5565}]",0,5411,5521,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-112-micron,4,0.000142979,0.142979,2.217092,face-normal,21.591272,-21.591272,0,1.302,0.9155,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":6418.0,""mass_flow_kgs"":1.302}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4514.0,""mass_flow_kgs"":0.9155}]",0,6418,4514,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-168-micron,5,0.0002144685,0.214468,2.217092,face-normal,21.591272,-21.591272,0,1.608,0.6088,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":7930.0,""mass_flow_kgs"":1.608}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3002.0,""mass_flow_kgs"":0.6088}]",0,7930,3002,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-348-micron,6,0.0004432349,0.443235,26.552,face-normal,21.591272,-21.591272,0,26.51,0.04615,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10913.0,""mass_flow_kgs"":26.51}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":19.0,""mass_flow_kgs"":0.04615}]",0,10913,19,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-562-micron,7,0.000714895,0.714895,33.19,face-normal,21.591272,-21.591272,0,33.01,0.1822,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10872.0,""mass_flow_kgs"":33.01}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":60.0,""mass_flow_kgs"":0.1822}]",0,10872,60,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-844-micron,8,0.001072342,1.072342,33.19,face-normal,21.591272,-21.591272,0,33.01,0.1791,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10873.0,""mass_flow_kgs"":33.01}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":59.0,""mass_flow_kgs"":0.1791}]",0,10873,59,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-1631-micron,9,0.002073195,2.073195,33.19,face-normal,21.591272,-21.591272,0,33,0.1913,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10869.0,""mass_flow_kgs"":33.0}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":63.0,""mass_flow_kgs"":0.1913}]",0,10869,63,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-5-micron,1,6.297898e-06,0.006298,0.202865,face-normal,24.22817,-24.22817,0.02416,0.03828,0.1404,outlet,bottom,,30048,50059,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":1302.0,""mass_flow_kgs"":0.02416}]","[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":2063.0,""mass_flow_kgs"":0.03828}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":7567.0,""mass_flow_kgs"":0.1404}]",1302,2063,7567,0.119093978754,
Case 3,1520,injection-28-micron,2,3.148949e-05,0.031489,0.833307,face-normal,24.22817,-24.22817,0,0.3864,0.4469,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5069.0,""mass_flow_kgs"":0.3864}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5863.0,""mass_flow_kgs"":0.4469}]",0,5069,5863,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-56-micron,3,6.297898e-05,0.062979,1.036172,face-normal,24.22817,-24.22817,0,0.5007,0.5354,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":5283.0,""mass_flow_kgs"":0.5007}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5649.0,""mass_flow_kgs"":0.5354}]",0,5283,5649,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-112-micron,4,0.000125958,0.125958,2.084828,face-normal,24.22817,-24.22817,0,1.148,0.9364,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":6022.0,""mass_flow_kgs"":1.148}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4910.0,""mass_flow_kgs"":0.9364}]",0,6022,4910,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-168-micron,5,0.0001889369,0.188937,2.084828,face-normal,24.22817,-24.22817,0,1.362,0.7232,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":7140.0,""mass_flow_kgs"":1.362}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3792.0,""mass_flow_kgs"":0.7232}]",0,7140,3792,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-348-micron,6,0.0003904697,0.39047,24.968,face-normal,24.22817,-24.22817,0,24.95,0.02056,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10923.0,""mass_flow_kgs"":24.95}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":9.0,""mass_flow_kgs"":0.02056}]",0,10923,9,0,escaped_kgs set to 0; no escaped fate row in per-injection report
