variant,case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
z_negative,Case 2,1440,injection-1,2,2.739014e-05,0.02739,0.886173,components,27.503345,-27.503345,0.8791,0.007028,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8631.0,""mass_flow_kgs"":0.8791}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":69.0,""mass_flow_kgs"":0.007028}]",,8631,69,0,0.992018488489,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_negative,Case 2,1440,injection-2,3,5.478028e-05,0.05478,1.101908,components,27.503345,-27.503345,1.069,0.01697,0.01621,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8438.0,""mass_flow_kgs"":1.069}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":134.0,""mass_flow_kgs"":0.01697}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":128.0,""mass_flow_kgs"":0.01621}]",8438,134,128,0.970135437804,
z_negative,Case 2,1440,injection-3,4,0.0001095606,0.109561,2.217092,components,27.503345,-27.503345,2.19,0.0186,0.008155,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8595.0,""mass_flow_kgs"":2.19}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":73.0,""mass_flow_kgs"":0.0186}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":32.0,""mass_flow_kgs"":0.008155}]",8595,73,32,0.987780389808,
z_negative,Case 2,1440,injection-4,5,0.0001643408,0.164341,2.217092,components,27.503345,-27.503345,2.205,0.006881,0.005352,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8652.0,""mass_flow_kgs"":2.205}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":27.0,""mass_flow_kgs"":0.006881}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":21.0,""mass_flow_kgs"":0.005352}]",8652,27,21,0.994546008916,
z_negative,Case 2,1440,injection-5,6,0.0003396377,0.339638,26.552,components,27.503345,-27.503345,23.1,3.449,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":7570.0,""mass_flow_kgs"":23.1}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1130.0,""mass_flow_kgs"":3.449}]",,7570,1130,0,0.869990961133,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_negative,Case 2,1440,injection-6,7,0.0005478028,0.547803,33.19,components,27.503345,-27.503345,26.85,6.337,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":7039.0,""mass_flow_kgs"":26.85}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1661.0,""mass_flow_kgs"":6.337}]",,7039,1661,0,0.808978608014,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_negative,Case 2,1440,injection-7,8,0.0008217042,0.821704,33.19,components,27.503345,-27.503345,24.65,8.538,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6462.0,""mass_flow_kgs"":24.65}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2238.0,""mass_flow_kgs"":8.538}]",,6462,2238,0,0.742693582404,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_negative,Case 2,1440,injection-8,9,0.001588628,1.588628,33.19,components,27.503345,-27.503345,12.79,20.4,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":3353.0,""mass_flow_kgs"":12.79}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":5347.0,""mass_flow_kgs"":20.4}]",,3353,5347,0,0.385357035252,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_positive,Case 2,1440,injection-0,1,5.478028e-06,0.005478,0.215735,components,27.503345,27.503345,0.2156,9.919e-05,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8696.0,""mass_flow_kgs"":0.2156}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4.0,""mass_flow_kgs"":9.919e-05}]",,8696,4,0,0.999374232276,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_positive,Case 2,1440,injection-1,2,2.739014e-05,0.02739,0.886173,components,27.503345,27.503345,0.8791,0.007028,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8631.0,""mass_flow_kgs"":0.8791}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":69.0,""mass_flow_kgs"":0.007028}]",,8631,69,0,0.992018488489,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_positive,Case 2,1440,injection-2,3,5.478028e-05,0.05478,1.101908,components,27.503345,27.503345,1.069,0.01697,0.01621,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8438.0,""mass_flow_kgs"":1.069}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":134.0,""mass_flow_kgs"":0.01697}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":128.0,""mass_flow_kgs"":0.01621}]",8438,134,128,0.970135437804,
z_positive,Case 2,1440,injection-3,4,0.0001095606,0.109561,2.217092,components,27.503345,27.503345,2.19,0.0186,0.008155,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8595.0,""mass_flow_kgs"":2.19}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":73.0,""mass_flow_kgs"":0.0186}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":32.0,""mass_flow_kgs"":0.008155}]",8595,73,32,0.987780389808,
z_positive,Case 2,1440,injection-4,5,0.0001643408,0.164341,2.217092,components,27.503345,27.503345,2.205,0.006881,0.005352,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8652.0,""mass_flow_kgs"":2.205}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":27.0,""mass_flow_kgs"":0.006881}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":21.0,""mass_flow_kgs"":0.005352}]",8652,27,21,0.994546008916,
z_positive,Case 2,1440,injection-5,6,0.0003396377,0.339638,26.552,components,27.503345,27.503345,23.1,3.449,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":7570.0,""mass_flow_kgs"":23.1}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1130.0,""mass_flow_kgs"":3.449}]",,7570,1130,0,0.869990961133,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_positive,Case 2,1440,injection-6,7,0.0005478028,0.547803,33.19,components,27.503345,27.503345,26.85,6.337,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":7039.0,""mass_flow_kgs"":26.85}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1661.0,""mass_flow_kgs"":6.337}]",,7039,1661,0,0.808978608014,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_positive,Case 2,1440,injection-7,8,0.0008217042,0.821704,33.19,components,27.503345,27.503345,24.65,8.538,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6462.0,""mass_flow_kgs"":24.65}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2238.0,""mass_flow_kgs"":8.538}]",,6462,2238,0,0.742693582404,incomplete_kgs set to 0; no incomplete fate row in per-injection report
z_positive,Case 2,1440,injection-8,9,0.001588628,1.588628,33.19,components,27.503345,27.503345,12.79,20.4,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":3353.0,""mass_flow_kgs"":12.79}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":5347.0,""mass_flow_kgs"":20.4}]",,3353,5347,0,0.385357035252,incomplete_kgs set to 0; no incomplete fate row in per-injection report
