case,enthalpy_kJkg,iterations_completed,liquid_mass_flow_kgs,gas_mass_flow_kgs,dpm_injected_mass_flow_kgs,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count
Case 1,1600 -25%,1500,87.69,60.52,87.69,0.1367,51.49,36.06,steam_outlet,fluid_outlet,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8346.0}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":38562.0}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":31392.0}]",8346,38562,31392
Case 2,1440,1500,132.76,64.85,132.76,0.2136,74.53,58.01,steam_outlet,fluid_outlet,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8514.0}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":36808.0}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":32978.0}]",8514,36808,32978
Case 3,1520,1500,124.84,72.77,124.84,0.1967,69.55,55.09,steam_outlet,fluid_outlet,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8359.0,""mass_flow_kgs"":0.1967}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":36995.0,""mass_flow_kgs"":69.55}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":32946.0,""mass_flow_kgs"":55.09}]",8359,36995,32946
Case 4,1600,1500,116.92,80.69,116.92,0.1817,63.24,53.5,steam_outlet,fluid_outlet,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8318.0,""mass_flow_kgs"":0.1817}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":36268.0,""mass_flow_kgs"":63.24}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":33714.0,""mass_flow_kgs"":53.5}]",8318,36268,33714
Case 5,1680,1500,109,88.61,109,0.1648,56.81,52.02,steam_outlet,fluid_outlet,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8096.0}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":35307.0}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":34897.0}]",8096,35307,34897
Case 6,1760,1500,101.09,96.52,101.09,0.1443,51.37,49.58,steam_outlet,fluid_outlet,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":7640.0}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":34891.0}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":35769.0}]",7640,34891,35769
