case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 2,1440,injection-2,3,5.478028e-05,0.05478,1.101908,face-normal,27.503345,-27.503345,0,0.5292,0.5727,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4178.0,""mass_flow_kgs"":0.5292}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4522.0,""mass_flow_kgs"":0.5727}]",0,4178,4522,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-3,4,0.0001095606,0.109561,2.217092,face-normal,27.503345,-27.503345,0,1.105,1.112,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4338.0,""mass_flow_kgs"":1.105}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4362.0,""mass_flow_kgs"":1.112}]",0,4338,4362,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-4,5,0.0001643408,0.164341,2.217092,face-normal,27.503345,-27.503345,0,1.133,1.084,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4447.0,""mass_flow_kgs"":1.133}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4253.0,""mass_flow_kgs"":1.084}]",0,4447,4253,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-5,6,0.0003396377,0.339638,26.552,face-normal,27.503345,-27.503345,0,14.18,12.37,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4646.0,""mass_flow_kgs"":14.18}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4054.0,""mass_flow_kgs"":12.37}]",0,4646,4054,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-6,7,0.0005478028,0.547803,33.19,face-normal,27.503345,-27.503345,0,18.27,14.92,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4789.0,""mass_flow_kgs"":18.27}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3911.0,""mass_flow_kgs"":14.92}]",0,4789,3911,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-7,8,0.0008217042,0.821704,33.19,face-normal,27.503345,-27.503345,0,18.87,14.32,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4947.0,""mass_flow_kgs"":18.87}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3753.0,""mass_flow_kgs"":14.32}]",0,4947,3753,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-8,9,0.001588628,1.588628,33.19,face-normal,27.503345,-27.503345,0,20.02,13.17,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":5249.0,""mass_flow_kgs"":20.02}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3451.0,""mass_flow_kgs"":13.17}]",0,5249,3451,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-0,1,4.825892e-06,0.004826,0.202865,face-normal,30.862273,-30.862273,0.1944,0.006179,0.002332,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8335.0,""mass_flow_kgs"":0.1944}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":265.0,""mass_flow_kgs"":0.006179}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":100.0,""mass_flow_kgs"":0.002332}]",8335,265,100,0.958272742957,
Case 3,1520,injection-1,2,2.412946e-05,0.024129,0.833307,face-normal,30.862273,-30.862273,0.002299,0.3978,0.4332,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":24.0,""mass_flow_kgs"":0.002299}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4153.0,""mass_flow_kgs"":0.3978}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4523.0,""mass_flow_kgs"":0.4332}]",24,4153,4523,0.00275888718083,
Case 3,1520,injection-2,3,4.825892e-05,0.048259,1.036172,face-normal,30.862273,-30.862273,0,0.5062,0.53,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4250.0,""mass_flow_kgs"":0.5062}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4450.0,""mass_flow_kgs"":0.53}]",0,4250,4450,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-3,4,9.651784e-05,0.096518,2.084828,face-normal,30.862273,-30.862273,0,1.052,1.033,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4389.0,""mass_flow_kgs"":1.052}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4311.0,""mass_flow_kgs"":1.033}]",0,4389,4311,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-4,5,0.0001447768,0.144777,2.084828,face-normal,30.862273,-30.862273,0,1.07,1.015,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4466.0,""mass_flow_kgs"":1.07}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4234.0,""mass_flow_kgs"":1.015}]",0,4466,4234,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-5,6,0.0002992053,0.299205,24.968,face-normal,30.862273,-30.862273,0,13.33,11.63,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4646.0,""mass_flow_kgs"":13.33}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":4054.0,""mass_flow_kgs"":11.63}]",0,4646,4054,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-6,7,0.0004825892,0.482589,31.21,face-normal,30.862273,-30.862273,0,17.1,14.11,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4768.0,""mass_flow_kgs"":17.1}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3932.0,""mass_flow_kgs"":14.11}]",0,4768,3932,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-7,8,0.0007238838,0.723884,31.21,face-normal,30.862273,-30.862273,0,17.58,13.63,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":4901.0,""mass_flow_kgs"":17.58}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3799.0,""mass_flow_kgs"":13.63}]",0,4901,3799,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-8,9,0.001399509,1.399509,31.21,face-normal,30.862273,-30.862273,0,18.5,12.71,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":5157.0,""mass_flow_kgs"":18.5}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3543.0,""mass_flow_kgs"":12.71}]",0,5157,3543,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-0,1,4.307482e-06,0.004307,0.189995,face-normal,34.221202,-34.221202,0.1817,0.00832,2.184e-05,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8318.0,""mass_flow_kgs"":0.1817}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":381.0,""mass_flow_kgs"":0.00832}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":1.0,""mass_flow_kgs"":2.184e-05}]",8318,381,1,0.956340956341,
