native_iteration,total_liquid_mass_kg,phase2_steamoutlet_flux_kg_s,ewf_film_mass_kg,active_ewf_wall_geometric_area_m2_static,ewf_wetted_area_m2_at_native_13586,ewf_velocity_area_weighted_average_m_s,ewf_maximum_film_thickness_mm
8586,63.02335540190473,-1.736546966818777,3.111232139629345,53.4369522992766,,46.3388993615908,0.3310326137579978
8587,63.01026986998372,-1.732248790398882,3.112044722100587,53.4369522992766,,46.3520481203734,0.3314263885840774
8588,63.00201525304729,-1.730208113981964,3.112856509306961,53.4369522992766,,46.36515697267551,0.3318095114082098
8589,62.99504402616031,-1.73157303179858,3.1136649716125,53.4369522992766,,46.37823646096763,0.3321820695418864
8590,62.99396483931449,-1.730059811229801,3.114471017803242,53.4369522992766,,46.39130732102359,0.33254415029659873
8591,63.00322167113563,-1.733811218343219,3.11527495087086,53.4369522992766,,46.40439051976431,0.3328958118800074
8592,63.01103163564228,-1.732031404950513,3.116079806146063,53.4369522992766,,46.41753637596816,0.3332371124997735
8593,62.99585135893046,-1.729246646423223,3.116888092059383,53.4369522992766,,46.43077406010726,0.3335681976750493
8594,62.99545584382086,-1.728290681863022,3.117700213506167,53.4369522992766,,46.44405282182277,0.3338891256134957
8595,62.98959815111267,-1.729821232563052,3.118512548205997,53.4369522992766,,46.45738188769338,0.3342000127304345
8596,62.97883731852628,-1.731959544380228,3.119322868711463,53.4369522992766,,46.47062509069499,0.3345009463373572
8597,62.97183875393416,-1.730557896412961,3.120128785013403,53.4369522992766,,46.48374988978252,0.3347919846419245
8598,62.98714601477617,-1.734651565796153,3.120930547823654,53.4369522992766,,46.4967854650002,0.3350732149556279
8599,62.97797160683809,-1.730038661633144,3.12173155751354,53.4369522992766,,46.50982539547968,0.3353447536937892
8600,62.97148771667928,-1.730130393610462,3.122532465450822,53.4369522992766,,46.52288123030566,0.3356066008564085
8601,62.99575378422111,-1.730560793457687,3.123333552761654,53.4369522992766,,46.53595637047857,0.3358589019626379
8602,63.006122664303,-1.72854042240327,3.124137411359544,53.4369522992766,,46.54912669875054,0.3361017152201384
8603,63.00961116327831,-1.732485542074927,3.12494428013614,53.4369522992766,,46.56237216193077,0.3363351570442319
8604,62.98760680400936,-1.731910644871383,3.125753249258919,53.4369522992766,,46.57569165217755,0.3365593147464097
8605,62.97008827256191,-1.727164747945944,3.126562929931282,53.4369522992766,,46.58901994046988,0.3367742465343326
8606,62.95588713440323,-1.72942223577285,3.127370295872861,53.4369522992766,,46.6023403454834,0.3369800688233227
8607,62.96149408474655,-1.725813214236976,3.128172695192517,53.4369522992766,,46.61551294419353,0.3371768689248711
8608,62.9592756421099,-1.726944154936847,3.128971002087718,53.4369522992766,,46.6285672938712,0.3373647341504693
8609,62.95125780169712,-1.728040911451098,3.129766021466896,53.4369522992766,,46.64155091309357,0.3375437518116087
8610,62.96492254983765,-1.734495325509219,3.130558713628705,53.4369522992766,,46.65450614095263,0.3377140092197806
8611,62.98076292852333,-1.731479397167457,3.131352376303821,53.4369522992766,,46.66749877089608,0.3378755645826459
8612,62.97695032761241,-1.729562843382796,3.132150144426401,53.4369522992766,,46.68057569973477,0.3380285634193569
8613,62.98883452600897,-1.727177626546787,3.132951581112371,53.4369522992766,,46.69373729780001,0.3381730057299137
8614,62.98417039959678,-1.731159454572079,3.133754457334151,53.4369522992766,,46.70695022885,0.3385005984455347
8615,62.98524577245412,-1.732342714215182,3.134558425775449,53.4369522992766,,46.72021261761531,0.3388416953384876
8616,62.98894485572882,-1.737811691111189,3.135364687330447,53.4369522992766,,46.73353811713383,0.3391746431589127
8617,62.97233350024536,-1.729403767814423,3.136171227244925,53.4369522992766,,46.74683626066126,0.3394994419068098
8618,62.96601320658185,-1.729614656698217,3.136972254654143,53.4369522992766,,46.75998907738831,0.33981614978984
8619,62.96309430624861,-1.729189237328296,3.137768406028566,53.4369522992766,,46.77304940230913,0.3401248541194946
8620,62.96791038801641,-1.728735473529796,3.138562135284338,53.4369522992766,,46.78607355204225,0.340425583999604
8621,62.97415635617908,-1.730509318761438,3.139356361755348,53.4369522992766,,46.79912939334661,0.3407183976378292
8622,62.96797468363818,-1.733866742276323,3.140151873965154,53.4369522992766,,46.81224250164083,0.3410033532418311
8623,62.96721856315114,-1.731159304467429,3.140946734271192,53.4369522992766,,46.82539175122919,0.3412805090192705
8624,62.97215296787903,-1.727644044662818,3.141740823465207,53.4369522992766,,46.83858420307143,0.3415499231778085
8625,62.9762296161357,-1.724811852979922,3.142535863861587,53.4369522992766,,46.85180659087739,0.3418116830289364
8626,62.98338114546843,-1.730859267300679,3.143332108350056,53.4369522992766,,46.86502487783534,0.3420658176764846
8627,62.97624290448691,-1.731534565782849,3.144130345963986,53.4369522992766,,46.87828120408384,0.3423124144319445
8628,62.9689986191402,-1.731229541937433,3.144929781502519,53.4369522992766,,46.8915086124174,0.3426770272199064
8629,62.95768397196714,-1.728300613014412,3.145727437089893,53.4369522992766,,46.90465752272613,0.3431899531278759
8630,62.96935455374727,-1.735454492913416,3.146520318504684,53.4369522992766,,46.91771572837121,0.3436910919845104
8631,62.95897989101046,-1.731937744123371,3.147309688661907,53.4369522992766,,46.93074189556884,0.3441805602051318
8632,62.95879038974013,-1.728768885164085,3.148098497168111,53.4369522992766,,46.9437662852428,0.3446583868935704
8633,62.96171652592139,-1.72833960784044,3.14888649178113,53.4369522992766,,46.9567961734614,0.3451246884651482
8634,62.97642603210396,-1.736907590389744,3.149676119267175,53.4369522992766,,46.9698804245186,0.3455794940236956
8635,62.96634288089134,-1.731460729968819,3.150468269662169,53.4369522992766,,46.98304851788746,0.3460229490883648
8636,62.95416080047604,-1.728354176385005,3.151262613258313,53.4369522992766,,46.99629058580953,0.3464550827629864
8637,62.94462987144807,-1.731422530123424,3.152055855158901,53.4369522992766,,47.00957645382466,0.3468759823590517
8638,62.96310184395195,-1.735963909644328,3.152845398033763,53.4369522992766,,47.02276402396559,0.347285793395713
8639,62.9631732465226,-1.725315753634273,3.15363311556513,53.4369522992766,,47.03588472667739,0.3476845740806311
8640,62.98208330407572,-1.735825737504217,3.15442028505411,53.4369522992766,,47.04893867295422,0.3480723826214671
8641,62.97052822451968,-1.735163321392046,3.155208860459551,53.4369522992766,,47.06200667892919,0.3484493354335427
8642,62.96064118974417,-1.734922821690821,3.155999384728519,53.4369522992766,,47.07508920140851,0.3488155198283494
8643,62.95929772520405,-1.728013804425311,3.156788612748456,53.4369522992766,,47.08815875532935,0.3491709940135479
8644,62.95576429083947,-1.728666651910455,3.157575182402698,53.4369522992766,,47.10122152975027,0.3495158744044602
8645,62.95884194918045,-1.729385130634,3.158360573558083,53.4369522992766,,47.11430173153005,0.3498501901049167
8646,62.94774156629335,-1.729718717234623,3.159146449525417,53.4369522992766,,47.1274258059866,0.3501740866340697
8647,62.92914458055262,-1.72988306328736,3.159933092662709,53.4369522992766,,47.14062268705622,0.3504875930957496
8648,62.94677339149248,-1.737724665389945,3.160716743300794,53.4369522992766,,47.15374072538281,0.3507908841129392
8649,62.97145365690166,-1.727964851774947,3.161497827537395,53.4369522992766,,47.16682103731871,0.351083988789469
