native_iteration,E0_signed_phase2_flux_kg_s,E1_signed_phase2_flux_kg_s,E3_signed_phase2_flux_kg_s,E2.7_signed_phase2_flux_kg_s
6470,-24.36039955926525,-24.36039955926525,-25.10970943297423,-1.990111050947757
6480,-24.37676329151536,-24.37676329151536,-25.1696685437102,-1.982618683768416
6490,-24.35163887581083,-24.35163887581083,-25.0563787949061,-1.973373641216847
6500,-24.3691296000383,-24.3691296000383,-24.80369641112706,-1.972197501637039
6510,-24.33503115058415,-24.33503115058415,-24.50083412497004,-1.951698884125475
6520,-24.36090275172159,-24.36090275172159,-24.21692581585491,-1.962235335847339
6530,-24.33986054150633,-24.33986054150633,-23.9459295284401,-1.941842244732059
6540,-24.36318131682276,-24.36318131682276,-23.76442810164447,-1.94375372817554
6550,-24.35400594019536,-24.35400594019536,-23.61756778466599,-1.936334387223218
6560,-24.37058595110074,-24.37058595110074,-23.56644976809586,-1.922553842690646
6570,-24.35064253628747,-24.35064253628747,-23.61410236523137,-1.909045119651237
6580,-24.40068340116186,-24.40068340116186,-23.77576929916815,-1.900891169198679
6590,-24.36700451952014,-24.36700451952014,-24.01297091598665,-1.886123449273902
6600,-24.36316308921086,-24.36316308921086,-24.30346872250693,-1.881477731704187
6610,-24.33547901624454,-24.33547901624454,-24.58998044099483,-1.87262095511865
6620,-24.3507872800333,-24.3507872800333,-24.822479164727,-1.871947337646793
6630,-24.32760182601029,-24.32760182601029,-24.97868865492427,-1.863519000643159
6640,-24.36948799398444,-24.36948799398444,-25.11760574243852,-1.863626470990381
6650,-24.35930661193268,-24.35930661193268,-25.08809005846712,-1.853954417646741
6660,-24.37429096995336,-24.37429096995336,-25.02461239615288,-1.858419820801999
6670,-24.34255308928842,-24.34255308928842,-24.80032654980915,-1.85595796181152
6680,-24.35681793702706,-24.35681793702706,-24.6159859604038,-1.863386942044511
6690,-24.33430986713115,-24.33430986713115,-24.34536032177989,-1.852550600048657
6700,-24.36224276816008,-24.36224276816008,-24.16153768774409,-1.864269580137377
6710,-24.32828021885254,-24.32828021885254,-23.97960318112253,-1.851892089590307
6720,-24.35691220400567,-24.35691220400567,-23.90949760972143,-1.845551019873136
6730,-24.34752844596496,-24.34752844596496,-23.86666343905529,-1.838153220745386
6740,-24.38909725059157,-24.38909725059157,-23.9135534130443,-1.843831607388091
6750,-24.38111413650239,-24.38111413650239,-24.03696089446449,-1.841641932836755
6760,-24.36173130197615,-24.36173130197615,-24.26231683625058,-1.840918066922484
6770,-24.33669866356519,-24.33669866356519,-24.4484621207617,-1.827555335704547
6780,-24.34737194759753,-24.34737194759753,-24.68454643141825,-1.828663692780975
6790,-24.31967344259608,-24.31967344259608,-24.85559303715501,-1.82105421092079
6800,-24.3522643795413,-24.3522643795413,-25.00512297635129,-1.820131957489191
6810,-24.33346491194428,-24.33346491194428,-25.0286440484268,-1.816649036391754
6820,-24.35529423893368,-24.35529423893368,-25.04341722838643,-1.821088508060839
6830,-24.32473766222571,-24.32473766222571,-24.9647508883736,-1.816315689330255
6840,-24.34778642955064,-24.34778642955064,-24.8272060665003,-1.818152355049234
6850,-24.35956534694283,-24.35956534694283,-24.6195737816712,-1.806478988755322
6860,-24.38932928157771,-24.38932928157771,-24.43724648243413,-1.805691813214019
6870,-24.35900718881943,-24.35900718881943,-24.25711682348681,-1.796430045291578
6880,-24.38102541458861,-24.38102541458861,-24.14644618267761,-1.798736218271725
6890,-24.34875513547182,-24.34875513547182,-24.08875090867536,-1.796828206900807
6900,-24.38019589382364,-24.38019589382364,-24.06960979252853,-1.7935448907231
6910,-24.35336431572293,-24.35336431572293,-24.11908991614661,-1.783937267199594
6920,-24.37650133397438,-24.37650133397438,-24.25115508474809,-1.787885014212779
6930,-24.36454700028129,-24.36454700028129,-24.39345260773757,-1.787507288774206
6940,-24.38830568838382,-24.38830568838382,-24.58797572168201,-1.791364153018205
6950,-24.36111302772839,-24.36111302772839,-24.75301608750365,-1.788326115221571
6960,-24.38135549149757,-24.38135549149757,-24.88785989610205,-1.790850223550991
6970,-24.35036959972474,-24.35036959972474,-24.96284414813292,-1.776556259901023
6980,-24.36520791590851,-24.36520791590851,-25.01572179511623,-1.785747989595436
6990,-24.36081788868746,-24.36081788868746,-24.96870327171759,-1.773946586379388
7000,-24.37430936373566,-24.37430936373566,-24.90143682009137,-1.777345553998305
7010,-24.35372908704426,-24.35372908704426,-24.78428708678941,-1.772161407073928
7020,-24.38113055256316,-24.38113055256316,-24.66658277713226,-1.779549792869508
7030,-24.35043973612356,-24.35043973612356,-24.48262239010207,-1.780746003840227
7040,-24.37411796640563,-24.37411796640563,-24.3610179851198,-1.780150204174614
7050,-24.35538985348725,-24.35538985348725,-24.23075467679956,-1.771749361274905
7060,-24.36946013565196,-24.36946013565196,-24.19180895219239,-1.772490533067501
7070,-24.3382294098178,-24.3382294098178,-24.19343173815374,-1.76124982171337
7080,-24.35965042441972,-24.35965042441972,-24.25657213514179,-1.764216349330111
7090,-24.33136473663405,-24.33136473663405,-24.36414071632195,-1.758947063466254
7100,-24.34908968135139,-24.34908968135139,-24.48553450666056,-1.756044410908396
7110,-24.33654551918188,-24.33654551918188,-24.61742125637659,-1.751557216513262
7120,-24.37403055559104,-24.37403055559104,-24.74073963848175,-1.752765803583303
7130,-24.35573465685062,-24.35573465685062,-24.84283865711652,-1.753321386708386
7140,-24.38319779551331,-24.38319779551331,-24.89390827368144,-1.751337187369478
7150,-24.41220533241422,-24.41220533241422,-24.90515600300228,-1.753441524338272
7160,-24.39293628119722,-24.39293628119722,-24.88180434749839,-1.758330443255322
7170,-24.35684897337537,-24.35684897337537,-24.82061094156782,-1.755476683697364
7180,-24.40870256258508,-24.40870256258508,-24.71083911809551,-1.754008954762528
7190,-24.36666458790591,-24.36666458790591,-24.61769659863226,-1.755642795327411
7200,-24.36766113001403,-24.36766113001403,-24.47018612552366,-1.752174477372033
7210,-24.35941635327018,-24.35941635327018,-24.35454252149879,-1.749687770653759
7220,-24.3810183089168,-24.3810183089168,-24.26157399862721,-1.751425800313186
7230,-24.35145737569221,-24.35145737569221,-24.28484590237736,-1.748763463972213
7240,-24.36176153622385,-24.36176153622385,-24.32104658497184,-1.750677104108621
7250,-24.33191228728283,-24.33191228728283,-24.3890685042874,-1.750218524271583
7260,-24.34706978547509,-24.34706978547509,-24.45949112564173,-1.748925399244429
7270,-24.32771060060963,-24.32771060060963,-24.56041551181939,-1.745056973239449
7280,-24.35745686055678,-24.35745686055678,-24.63462502876502,-1.742128508878871
7290,-24.38111930324085,-24.38111930324085,-24.73424093971238,-1.745369471823532
7300,-24.36864562054963,-24.36864562054963,-24.81225807810244,-1.74615536992968
7310,-24.33443806460195,-24.33443806460195,-24.88837677965303,-1.745625276992658
7320,-24.36528265705287,-24.36528265705287,-24.90431230404806,-1.744836916488859
7330,-24.35212300030121,-24.35212300030121,-24.85838121424158,-1.745905722192769
7340,-24.3767062270909,-24.3767062270909,-24.73587765378955,-1.744439243030685
7350,-24.37319042473332,-24.37319042473332,-24.73736606135619,-1.740577982397348
7360,-24.37287971907771,-24.37287971907771,-24.56077361509433,-1.740331406233503
7370,-24.34658668356502,-24.34658668356502,-24.50395729944625,-1.73700592261876
7380,-24.43788500807153,-24.43788500807153,-24.42140763665093,-1.740822547069212
7390,-24.34074746706923,-24.34074746706923,-24.3883547307425,-1.746957425684026
7400,-24.37483383084533,-24.37483383084533,-24.38855650481017,-1.741281894095057
7410,-24.35368965491223,-24.35368965491223,-24.4000615971617,-1.745835468618258
7420,-24.36908536276799,-24.36908536276799,-24.44693074183691,-1.746100706550437
7430,-24.33736321967181,-24.33736321967181,-24.53028215443601,-1.740597697952693
7440,-24.38535935117886,-24.38535935117886,-24.58586686041459,-1.743713480475436
7450,-24.35176987077004,-24.35176987077004,-24.68959354420464,-1.736151337098057
7460,-24.3658514388062,-24.3658514388062,-24.73741670213305,-1.739612278740951
7470,-24.3416057686729,-24.3416057686729,-24.78209935893872,-1.74523189719008
7480,-24.35719865405217,-24.35719865405217,-24.76785450791688,-1.739655917104091
7490,-24.33085894071152,-24.33085894071152,-24.79038750128399,-1.741915259052932
7500,-24.36746394297194,-24.36746394297194,-24.76187818612862,-1.741070748414755
7510,-24.34596407806706,-24.34596407806706,-24.73517248881083,-1.739031421158538
7520,-24.38618858851643,-24.38618858851643,-24.65585183695691,-1.734226654198331
7530,-24.37107983985127,-24.37107983985127,-24.57050695671794,-1.738659292964096
7540,-24.38900508339805,-24.38900508339805,-24.47909465922637,-1.736521723744621
7550,-24.34502398455633,-24.34502398455633,-24.46173305645006,-1.739415420084869
7560,-24.36760466170659,-24.36760466170659,-24.44870264125068,-1.733565879320384
7570,-24.34561446333397,-24.34561446333397,-24.46214133143463,-1.738481837778169
7580,-24.37074181296661,-24.37074181296661,-24.45450438843647,-1.746944997602157
7590,-24.34729509911529,-24.34729509911529,-24.49847536428855,-1.743323864018538
7600,-24.36273632576973,-24.36273632576973,-24.52451684863274,-1.743856635812572
7610,-24.33782571478515,-24.33782571478515,-24.59308447451761,-1.739027675375001
7620,-24.37032890890959,-24.37032890890959,-24.68508993200185,-1.739105034502642
7630,-24.34661783202661,-24.34661783202661,-24.72547907577855,-1.737675631726335
7640,-24.36728755927616,-24.36728755927616,-24.72686971530324,-1.733338296853966
7650,-24.34391838812562,-24.34391838812562,-24.72107417860537,-1.736835584882911
7660,-24.38404506126242,-24.38404506126242,-24.71641273337353,-1.736034731811948
7670,-24.36108075566126,-24.36108075566126,-24.71762184699802,-1.734555996599794
7680,-24.38482803052059,-24.38482803052059,-24.66536269445913,-1.740381036071036
7690,-24.36461469239104,-24.36461469239104,-24.64766949920307,-1.73647397901674
7700,-24.39714549047896,-24.39714549047896,-24.57567604095305,-1.734753739547712
7710,-24.36681738523954,-24.36681738523954,-24.55066397285627,-1.737292426393332
7720,-24.38688239053912,-24.38688239053912,-24.52859465857784,-1.736576411354416
7730,-24.35167783730039,-24.35167783730039,-24.53503892397664,-1.738039065335375
7740,-24.37723382991798,-24.37723382991798,-24.51644239387912,-1.733324917338801
7750,-24.36391717314188,-24.36391717314188,-24.54638836760495,-1.738121172215955
7760,-24.39424284576497,-24.39424284576497,-24.56316034423807,-1.741317166123168
7770,-24.38364835926519,-24.38364835926519,-24.590334266106,-1.743476376047613
7780,-24.40227767073055,-24.40227767073055,-24.59663309162922,-1.741425063812003
7790,-24.36201666689522,-24.36201666689522,-24.65621321294512,-1.74057481869045
7800,-24.38217872881848,-24.38217872881848,-24.68370595012555,-1.74069861765583
7810,-24.35934434062344,-24.35934434062344,-24.72446193008792,-1.741061026120886
7820,-24.37000046483097,-24.37000046483097,-24.70240747780485,-1.737533130431415
7830,-24.34399667337963,-24.34399667337963,-24.71556675511102,-1.738543171638005
7840,-24.35493421277815,-24.35493421277815,-24.65026289807434,-1.729941954739002
7850,-24.32777718712072,-24.32777718712072,-24.66218213553371,-1.733199812283297
7860,-24.35716753818537,-24.35716753818537,-24.62804618075668,-1.734163275221744
7870,-24.33857825711704,-24.33857825711704,-24.57613005194721,-1.733458615617007
7880,-24.35977460548461,-24.35977460548461,-24.52569632258621,-1.733929001638581
7890,-24.33496375417625,-24.33496375417625,-24.50487597607069,-1.740475959927923
7900,-24.36017890063701,-24.36017890063701,-24.50696017379079,-1.738096720865238
7910,-24.31975840637162,-24.31975840637162,-24.54863705217549,-1.739634236684311
7920,-24.34235766622661,-24.34235766622661,-24.54962339513841,-1.733843076196847
7930,-24.32438659639042,-24.32438659639042,-24.55969757120239,-1.73930054600186
7940,-24.3588346052226,-24.3588346052226,-24.57325865687356,-1.729837423829988
7950,-24.34114024785075,-24.34114024785075,-24.63067902227466,-1.735059994358745
7960,-24.36973790090107,-24.36973790090107,-24.67070231990315,-1.734848630771631
7970,-24.35789235923378,-24.35789235923378,-24.70479397465506,-1.730911197009769
7980,-24.38949783867339,-24.38949783867339,-24.69525124352101,-1.734276386169119
7990,-24.35948302384153,-24.35948302384153,-24.6996393571492,-1.735840130986582
8000,-24.38566693059423,-24.38566693059423,-24.70214948616919,-1.729831852880193
8010,-24.36662355542387,-24.36662355542387,-24.67356984279974,-1.739210645826289
8020,-24.37791526127474,-24.37791526127474,-24.649843157377,-1.73606719873943
8030,-24.33563209183987,-24.33563209183987,-24.6352191910497,-1.737829276059512
8040,-24.36167697573899,-24.36167697573899,-24.5746981283812,-1.740275480915359
8050,-24.34385579908257,-24.34385579908257,-24.54338389349891,-1.743375887888755
8060,-24.37197505586681,-24.37197505586681,-24.51617930465999,-1.740110618540767
8070,-24.3480869300913,-24.3480869300913,-24.53780914954729,-1.733390396629984
8080,-24.368146543881,-24.368146543881,-24.54065385576246,-1.730786106892169
8090,-24.34306631207594,-24.34306631207594,-24.55706472362426,-1.736082445143609
8100,-24.35937368195042,-24.35937368195042,-24.55972972840424,-1.73890907306628
8110,-24.34225398767832,-24.34225398767832,-24.60644557722401,-1.739684415763107
8120,-24.36760199053588,-24.36760199053588,-24.61734800259767,-1.732873440570785
8130,-24.35115092208245,-24.35115092208245,-24.65448679282551,-1.737015334428534
8140,-24.37381365419499,-24.37381365419499,-24.68083798103309,-1.731715945299774
8150,-24.34973080784546,-24.34973080784546,-24.714110284836,-1.733485831394853
8160,-24.36424690347813,-24.36424690347813,-24.69143622283553,-1.733365420562523
8170,-24.33251073825347,-24.33251073825347,-24.68632088661711,-1.735519212691351
8180,-24.35590944105736,-24.35590944105736,-24.66385033035789,-1.727141496975859
8190,-24.32760750313716,-24.32760750313716,-24.6560133790486,-1.74387007476372
8200,-24.35840153681323,-24.35840153681323,-24.61129260984718,-1.737613820428708
8210,-24.33080551147176,-24.33080551147176,-24.58808377404753,-1.734929328429872
8220,-24.36826671152546,-24.36826671152546,-24.57105223468739,-1.735110262957226
8230,-24.355254782088,-24.355254782088,-24.5888863692406,-1.732227319419077
8240,-24.37663460910743,-24.37663460910743,-24.54486050575833,-1.73442829562295
8250,-24.36063473141471,-24.36063473141471,-24.54313667904284,-1.735635644531068
8260,-24.38635720490681,-24.38635720490681,-24.54978611320085,-1.735658807479272
8270,-24.34674951999909,-24.34674951999909,-24.59233062996248,-1.734029916873927
8280,-24.37710616461826,-24.37710616461826,-24.62688917832028,-1.735666186153373
8290,-24.37011827533491,-24.37011827533491,-24.62260064407567,-1.735772024998859
8300,-24.39472011294273,-24.39472011294273,-24.6131080948822,-1.740827842966201
8310,-24.36827792693216,-24.36827792693216,-24.65560651409666,-1.734940537668399
8320,-24.3961985538966,-24.3961985538966,-24.66704832651678,-1.737543420948406
8330,-24.3634625369076,-24.3634625369076,-24.6760749457738,-1.737508340458041
8340,-24.37622579385029,-24.37622579385029,-24.64815881927525,-1.737099842335911
8350,-24.34004340329646,-24.34004340329646,-24.64296064880077,-1.73876966565055
8360,-24.37025421270671,-24.37025421270671,-24.61065031879953,-1.73508629863263
8370,-24.35325773639082,-24.35325773639082,-24.61389309540264,-1.732233717099095
8380,-24.37739579766404,-24.37739579766404,-24.58968681328252,-1.732730725208257
8390,-24.35837361455072,-24.35837361455072,-24.59835287180336,-1.730188186216562
8400,-24.3933890926827,-24.3933890926827,-24.56161088516807,-1.733059531887919
8410,-24.35555593047246,-24.35555593047246,-24.56362208886798,-1.732667256562157
8420,-24.37833120484034,-24.37833120484034,-24.56591751763777,-1.737899600347665
8430,-24.35793653856872,-24.35793653856872,-24.60523918093136,-1.739457597709756
8440,-24.37668349847986,-24.37668349847986,-24.60205456034937,-1.736869498152791
8450,-24.35525803068681,-24.35525803068681,-24.62802208316923,-1.735255854899181
8460,-24.37231038704081,-24.37231038704081,-24.6301421422911,-1.733758849808596
8470,-24.34566410020214,-24.34566410020214,-24.66351175513085,-1.733479613271682
8480,-24.37442933255495,-24.37442933255495,-24.64651335387567,-1.736468812525776
8490,-24.37342148015449,-24.37342148015449,-24.67001261748601,-1.737127392846459
8500,-24.36244402819553,-24.36244402819553,-24.67470507225417,-1.742568785837033
8510,-24.33510724684788,-24.33510724684788,-24.69435186119374,-1.735676571352443
8520,-24.37099636391307,-24.37099636391307,-24.67022584654033,-1.737044255540946
8530,-24.34273435782991,-24.34273435782991,-24.65836175214307,-1.74002550855311
8540,-24.3649446763206,-24.3649446763206,-24.61121392698564,-1.736328974272311
8550,-24.34473109739587,-24.34473109739587,-24.60430551244296,-1.735450836588931
8560,-24.37313651088999,-24.37313651088999,-24.57757735193721,-1.734439023232996
8570,-24.34902944125349,-24.34902944125349,-24.57783807633786,-1.733018599497798
8580,-24.37813835169834,-24.37813835169834,-24.56544229226023,-1.736332968203677
