case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 4,1600,injection-5-micron,1,5.621362e-06,0.005621,0.189995,face-normal,26.865069,-26.865069,0.1871,0,0.002902,outlet,,,30048,,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":10765.0,""mass_flow_kgs"":0.1871}]",,"[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":167.0,""mass_flow_kgs"":0.002902}]",10765,0,167,0.984762756915,trapped_kgs set to 0; no trapped fate row in per-injection report
Case 4,1600,injection-28-micron,2,2.810681e-05,0.028107,0.780441,face-normal,26.865069,-26.865069,0.7778,7.139e-05,0.00257,outlet,bottom,,30048,50059,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":10895.0,""mass_flow_kgs"":0.7778}]","[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":1.0,""mass_flow_kgs"":7.139e-05}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":36.0,""mass_flow_kgs"":0.00257}]",10895,1,36,0.996616015817,
Case 4,1600,injection-56-micron,3,5.621362e-05,0.056214,0.970436,face-normal,26.865069,-26.865069,0.9669,8.877e-05,0.003462,outlet,bottom,,30048,50059,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":10892.0,""mass_flow_kgs"":0.9669}]","[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":1.0,""mass_flow_kgs"":8.877e-05}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":39.0,""mass_flow_kgs"":0.003462}]",10892,1,39,0.996356276972,
Case 4,1600,injection-112-micron,4,0.0001124272,0.112427,1.952564,face-normal,26.865069,-26.865069,1.836,0.008216,0.1079,outlet,bottom,,30048,50059,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":10282.0,""mass_flow_kgs"":1.836}]","[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":46.0,""mass_flow_kgs"":0.008216}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":604.0,""mass_flow_kgs"":0.1079}]",10282,46,604,0.940302084848,
Case 4,1600,injection-168-micron,5,0.0001686409,0.168641,1.952564,face-normal,26.865069,-26.865069,1.501,0.2336,0.2177,outlet,bottom,,30048,50059,,"[{""fate"":""escaped"",""zone_name"":""outlet"",""zone_id"":""30048"",""count"":8405.0,""mass_flow_kgs"":1.501}]","[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":1308.0,""mass_flow_kgs"":0.2336}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":1219.0,""mass_flow_kgs"":0.2177}]",8405,1308,1219,0.768732804661,
Case 4,1600,injection-348-micron,6,0.0003485244,0.348524,23.384,face-normal,26.865069,-26.865069,0,23.32,0.06417,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10902.0,""mass_flow_kgs"":23.32}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":30.0,""mass_flow_kgs"":0.06417}]",0,10902,30,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-562-micron,7,0.0005621362,0.562136,29.23,face-normal,26.865069,-26.865069,0,29.14,0.08824,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10899.0,""mass_flow_kgs"":29.14}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":33.0,""mass_flow_kgs"":0.08824}]",0,10899,33,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-844-micron,8,0.0008432043,0.843204,29.23,face-normal,26.865069,-26.865069,0,29.15,0.08289,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10901.0,""mass_flow_kgs"":29.15}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":31.0,""mass_flow_kgs"":0.08289}]",0,10901,31,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-1631-micron,9,0.001630195,1.630195,29.23,face-normal,26.865069,-26.865069,0,29.17,0.0615,,bottom,,,50059,,,"[{""fate"":""trapped"",""zone_name"":""bottom"",""zone_id"":""50059"",""count"":10909.0,""mass_flow_kgs"":29.17}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":23.0,""mass_flow_kgs"":0.0615}]",0,10909,23,0,escaped_kgs set to 0; no escaped fate row in per-injection report
