branch,terminal_load,terminal_iteration,late_window_stage,late_window_iterations,late_window_points,late_abs_imbalance_median_pct,late_abs_imbalance_p95_pct,late_liquid_inventory_median_kg,late_liquid_inventory_std_kg,late_liquid_inventory_slope_kg_per_iteration,late_static_margin_median_kpa,late_brine_flow_median_kg_s,endpoint_abs_imbalance_pct,endpoint_total_liquid_kg,endpoint_static_margin_kpa,continuity_median,continuity_p95,k_median,epsilon_median,vf_median,failure_at_terminal
F03,100%,5000,100%,"[4501, 5000]",500,495.493210605562,678.8727812229623,2697.1674724559143,96.97197313117476,0.6449713286448288,-16825.772814971046,1116.3026177777901,336.385044,2821.068548,-19.41516800000006,1.1838,1.241215,0.010799,0.037804500000000005,0.012736,False
F07,40%,9150,40%,"[8651, 9150]",500,36.27994914667778,52.473339111093786,318.3441798320207,3.5562207096061567,0.022432830180303964,-130.08112211397383,87.52598902712128,21.05379,324.161621,0.08459199999994599,1.35345,1.5673249999999999,0.0037745,0.030757,0.0069639,False
F09,100%,15000,100%,"[14501, 15000]",500,559.5688819213497,761.3291624895411,3011.785088962957,73.17433288860687,-0.48256950098923135,-18649.157418373972,1237.9794000308589,650.793748,2959.918598,-34.04477600000007,9.164100000000001,10.00405,0.00925875,0.030598,0.010946000000000001,False
