case,enthalpy_kJkg,inlet_velocity_ms,gas_mass_flow_kgs,escaped_kgs,steam_quality_pct
Case 1,1600 -25%,25.666961,60.520000,1.343390,97.828457
Case 2,1440,27.503345,64.850000,2.110010,96.848851
Case 3,1520,30.862273,72.770000,1.920830,97.428292
Case 4,1600,34.221202,80.690000,2.005300,97.575074
Case 5,1680,37.580130,88.610000,1.905340,97.895009
Case 6,1760,40.934817,96.520000,1.699962,98.269230
