case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 4,1600,injection-0,1,4.307482e-06,0.004307,0.189995,face-normal,34.221202,-34.221202,0.19,2.184e-05,,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8699.0,""mass_flow_kgs"":0.19}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1.0,""mass_flow_kgs"":2.184e-05}]",,8699,1,,1.00002631648,
Case 4,1600,injection-1,2,2.153741e-05,0.021537,0.780441,face-normal,34.221202,-34.221202,0.7727,0.007715,,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8614.0,""mass_flow_kgs"":0.7727}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":86.0,""mass_flow_kgs"":0.007715}]",,8614,86,,0.990081248935,
Case 4,1600,injection-2,3,4.307482e-05,0.043075,0.970436,face-normal,34.221202,-34.221202,0.7991,0.168,0.003346,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":7164.0,""mass_flow_kgs"":0.7991}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1506.0,""mass_flow_kgs"":0.168}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":30.0,""mass_flow_kgs"":0.003346}]",7164,1506,30,0.823444307507,
Case 4,1600,injection-3,4,8.614965e-05,0.08615,1.952564,face-normal,34.221202,-34.221202,1.485,0.4673,,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6618.0,""mass_flow_kgs"":1.485}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2082.0,""mass_flow_kgs"":0.4673}]",,6618,2082,,0.76053845098,
Case 4,1600,injection-4,5,0.0001292245,0.129224,1.952564,face-normal,34.221202,-34.221202,1.263,0.4958,0.1935,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":5629.0,""mass_flow_kgs"":1.263}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2209.0,""mass_flow_kgs"":0.4958}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":862.0,""mass_flow_kgs"":0.1935}]",5629,2209,862,0.646841793662,
Case 4,1600,injection-5,6,0.0002670639,0.267064,23.384,face-normal,34.221202,-34.221202,8.483,6.01,8.891,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":3156.0,""mass_flow_kgs"":8.483}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2236.0,""mass_flow_kgs"":6.01}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":3308.0,""mass_flow_kgs"":8.891}]",3156,2236,3308,0.362769414985,
Case 4,1600,injection-6,7,0.0004307482,0.430748,29.23,face-normal,34.221202,-34.221202,15.96,7.133,6.135,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":4751.0,""mass_flow_kgs"":15.96}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2123.0,""mass_flow_kgs"":7.133}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":1826.0,""mass_flow_kgs"":6.135}]",4751,2123,1826,0.546014368799,
Case 4,1600,injection-7,8,0.0006461224,0.646122,29.23,face-normal,34.221202,-34.221202,22.87,6.33,0.0336,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6806.0,""mass_flow_kgs"":22.87}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1884.0,""mass_flow_kgs"":6.33}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":10.0,""mass_flow_kgs"":0.0336}]",6806,1884,10,0.782415326719,
Case 4,1600,injection-8,9,0.00124917,1.24917,29.23,face-normal,34.221202,-34.221202,23.96,5.271,,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":7131.0,""mass_flow_kgs"":23.96}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1569.0,""mass_flow_kgs"":5.271}]",,7131,1569,,0.819705781731,
