case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 2,1440,injection-1,2,2.739014e-05,0.02739,0.886173,face-normal,27.503345,-27.503345,0.8164,0.06977,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8015.0,""mass_flow_kgs"":0.8164}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":685.0,""mass_flow_kgs"":0.06977}]",,8015,685,0,0.921264809467,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 2,1440,injection-2,3,5.478028e-05,0.05478,1.101908,face-normal,27.503345,-27.503345,0.8295,0.2722,0.0002533,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6549.0,""mass_flow_kgs"":0.8295}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2149.0,""mass_flow_kgs"":0.2722}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":2.0,""mass_flow_kgs"":0.0002533}]",6549,2149,2,0.752785168998,
Case 2,1440,injection-3,4,0.0001095606,0.109561,2.217092,face-normal,27.503345,-27.503345,0.2059,0.6534,1.358,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":808.0,""mass_flow_kgs"":0.2059}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2564.0,""mass_flow_kgs"":0.6534}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5328.0,""mass_flow_kgs"":1.358}]",808,2564,5328,0.0928693982929,
Case 2,1440,injection-4,5,0.0001643408,0.164341,2.217092,face-normal,27.503345,-27.503345,0.04281,0.6814,1.493,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":168.0,""mass_flow_kgs"":0.04281}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2674.0,""mass_flow_kgs"":0.6814}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5858.0,""mass_flow_kgs"":1.493}]",168,2674,5858,0.019309076935,
Case 2,1440,injection-5,6,0.0003396377,0.339638,26.552,face-normal,27.503345,-27.503345,0,8.454,18.1,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2770.0,""mass_flow_kgs"":8.454}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5930.0,""mass_flow_kgs"":18.1}]",0,2770,5930,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-6,7,0.0005478028,0.547803,33.19,face-normal,27.503345,-27.503345,0,10.52,22.67,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2757.0,""mass_flow_kgs"":10.52}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5943.0,""mass_flow_kgs"":22.67}]",0,2757,5943,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-7,8,0.0008217042,0.821704,33.19,face-normal,27.503345,-27.503345,0,10.24,22.95,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2685.0,""mass_flow_kgs"":10.24}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6015.0,""mass_flow_kgs"":22.95}]",0,2685,6015,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 2,1440,injection-8,9,0.001588628,1.588628,33.19,face-normal,27.503345,-27.503345,0,9.534,23.66,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2499.0,""mass_flow_kgs"":9.534}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6201.0,""mass_flow_kgs"":23.66}]",0,2499,6201,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 3,1520,injection-0,1,4.825892e-06,0.004826,0.202865,face-normal,30.862273,-30.862273,0.2025,0.0003964,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8683.0,""mass_flow_kgs"":0.2025}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":17.0,""mass_flow_kgs"":0.0003964}]",,8683,17,0,0.998200773914,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 3,1520,injection-1,2,2.412946e-05,0.024129,0.833307,face-normal,30.862273,-30.862273,0.7844,0.04894,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8189.0,""mass_flow_kgs"":0.7844}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":511.0,""mass_flow_kgs"":0.04894}]",,8189,511,0,0.941309745388,incomplete_kgs set to 0; no incomplete fate row in per-injection report
