case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 5,1680,injection-0,1,3.885923e-06,0.003886,0.177125,face-normal,37.58013,-37.58013,0.1765,0.0006515,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8668.0,""mass_flow_kgs"":0.1765}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":32.0,""mass_flow_kgs"":0.0006515}]",,8668,32,0,0.99647141849,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 5,1680,injection-1,2,1.942962e-05,0.01943,0.727575,face-normal,37.58013,-37.58013,0.7067,0.02082,8.363e-05,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8450.0,""mass_flow_kgs"":0.7067}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":249.0,""mass_flow_kgs"":0.02082}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":1.0,""mass_flow_kgs"":8.363e-05}]",8450,249,1,0.97130879978,
Case 5,1680,injection-2,3,3.885923e-05,0.038859,0.9047,face-normal,37.58013,-37.58013,0.7271,0.1776,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6992.0,""mass_flow_kgs"":0.7271}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1708.0,""mass_flow_kgs"":0.1776}]",,6992,1708,0,0.803691831546,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 5,1680,injection-3,4,7.771846e-05,0.077718,1.8203,face-normal,37.58013,-37.58013,0.2624,0.4764,1.082,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":1254.0,""mass_flow_kgs"":0.2624}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2277.0,""mass_flow_kgs"":0.4764}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5169.0,""mass_flow_kgs"":1.082}]",1254,2277,5169,0.144152062847,
Case 5,1680,injection-4,5,0.0001165777,0.116578,1.8203,face-normal,37.58013,-37.58013,0.03264,0.5063,1.281,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":156.0,""mass_flow_kgs"":0.03264}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2420.0,""mass_flow_kgs"":0.5063}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6124.0,""mass_flow_kgs"":1.281}]",156,2420,6124,0.0179311102566,
Case 5,1680,injection-5,6,0.0002409272,0.240927,21.8,face-normal,37.58013,-37.58013,0,6.247,15.55,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2493.0,""mass_flow_kgs"":6.247}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6207.0,""mass_flow_kgs"":15.55}]",0,2493,6207,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-6,7,0.0003885923,0.388592,27.25,face-normal,37.58013,-37.58013,0,7.677,19.57,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2451.0,""mass_flow_kgs"":7.677}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6249.0,""mass_flow_kgs"":19.57}]",0,2451,6249,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-7,8,0.0005828885,0.582888,27.25,face-normal,37.58013,-37.58013,0,7.383,19.87,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2357.0,""mass_flow_kgs"":7.383}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6343.0,""mass_flow_kgs"":19.87}]",0,2357,6343,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-8,9,0.001126918,1.126918,27.25,face-normal,37.58013,-37.58013,0,6.499,20.75,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2075.0,""mass_flow_kgs"":6.499}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6625.0,""mass_flow_kgs"":20.75}]",0,2075,6625,0,escaped_kgs set to 0; no escaped fate row in per-injection report
