carrier_outlet_quality_percent_trend_only,domain_volume_avg_velocity_ms,domain_volume_avg_vorticity_s-1,inlet_mass_weighted_pressure_pa,iteration,liquid_imbalance_percent,liquid_liquidinlet_kgs,liquid_net_kgs,liquid_steaminlet_kgs,liquid_steamoutlet_kgs,mixture_imbalance_percent,mixture_liquidinlet_kgs,mixture_net_kgs,mixture_steaminlet_kgs,mixture_steamoutlet_kgs,outlet_area_weighted_velocity_ms,outlet_mass_weighted_pressure_pa,pressure_drop_pa,vapor_imbalance_percent,vapor_liquidinlet_kgs,vapor_net_kgs,vapor_steaminlet_kgs,vapor_steamoutlet_kgs
100.0,9.0038499,29.205292,1126058.3,250,100.0,116.92,116.92,-0.0,-0.0,58.78578007185871,116.92,116.16658,80.69,-81.443421,32.109029,1119991.4,6066.90000000014,0.9337231503284175,-0.0,-0.75342121,80.69,-81.443421
100.0,12.043061,51.017824,1126020.4,500,100.0,116.92,116.92,-0.0,-8.3094664e-233,58.770325388391264,116.92,116.13604,80.69,-81.473962,32.209036,1119992.8,6027.59999999986,0.9715732060974098,-0.0,-0.78396242,80.69,-81.473962
100.0,14.597813,63.537303,1128569.8,750,100.0,116.92,116.92,-0.0,-4.1416622e-160,58.7931784828703,116.92,116.1812,80.69,-81.428804,35.201733,1119987.7,8582.100000000093,0.9156083157764283,-0.0,-0.73880435,80.69,-81.428804
100.0,16.534962,67.737467,1131739.3,1000,100.0,116.92,116.92,-0.0,-2.0509321e-92,58.78227822478619,116.92,116.15966,80.69,-81.45034,37.719938,1119978.7,11760.600000000093,0.9422976081298798,-0.0,-0.76033994,80.69,-81.45034
100.0,18.172327,70.892346,1134536.1,1250,100.0,116.92,116.92,-0.0,-9.1452566e-56,58.778659986842776,116.92,116.15251,80.69,-81.457492,39.868557,1119972.5,14563.600000000093,0.9511606890568843,-0.0,-0.76749156,80.69,-81.457492
100.0,19.343395,71.923396,1135776.4,1500,100.0,116.92,116.92,-0.0,-3.476518e-39,58.78332068215171,116.92,116.16172,80.69,-81.448281,41.335682,1119968.4,15808.0,0.9397455694633784,-0.0,-0.7582807,80.69,-81.448281
100.0,20.267328,72.066477,1137413.9,1750,100.0,116.92,116.92,-0.0,-1.1074909e-25,58.77672182581853,116.92,116.14868,80.69,-81.461325,42.214806,1119962.3,17451.59999999986,0.9559113149089107,-0.0,-0.77132484,80.69,-81.461325
99.99999999999997,21.467901,74.90484,1141518.0,2000,100.0,116.92,116.92,-0.0,-1.8110919e-14,58.79037498102322,116.92,116.17566,80.69,-81.434339,41.792559,1119961.8,21556.199999999953,0.9224678522741355,-0.0,-0.74433931,80.69,-81.434339
99.99999976676028,22.867715,82.147755,1143069.0,2250,100.0,116.92,116.92,-0.0,-1.9004243e-07,58.76754718890744,116.92,116.13055,80.69,-81.479445,42.725125,1119955.4,23113.600000000093,0.978367889453464,-0.0,-0.78944505,80.69,-81.479445
99.99999975378516,24.16176,85.666187,1143865.0,2500,100.0,116.92,116.92,-0.0,-2.0058347e-07,58.7739233844441,116.92,116.14315,80.69,-81.466852,42.441939,1119957.6,23907.399999999907,0.9627608129879787,-0.0,-0.7768517,80.69,-81.466852
99.99999295105748,25.376814,87.254485,1143507.4,2750,99.99999144714334,116.92,116.91999,-0.0,-5.7414422e-06,58.78188856839228,116.92,116.15889,80.69,-81.451114,42.347798,1119958.1,23549.299999999814,0.9432493989341926,-0.0,-0.76110794,80.69,-81.451108
99.99995880774603,26.48653,86.890456,1144091.1,3000,99.99997434143005,116.92,116.91997,-0.0,-3.3556236e-05,58.77612975051869,116.92,116.14751,80.69,-81.46249,42.5582,1119955.6,24135.5,0.9573141405378609,-0.0,-0.77245678,80.69,-81.462457
