carrier_outlet_quality_percent_trend_only,domain_volume_avg_velocity_ms,domain_volume_avg_vorticity_s-1,inlet_mass_weighted_pressure_pa,iteration,liquid_imbalance_percent,liquid_liquidinlet_kgs,liquid_net_kgs,liquid_steaminlet_kgs,liquid_steamoutlet_kgs,mixture_imbalance_percent,mixture_liquidinlet_kgs,mixture_net_kgs,mixture_steaminlet_kgs,mixture_steamoutlet_kgs,outlet_area_weighted_velocity_ms,outlet_mass_weighted_pressure_pa,pressure_drop_pa,vapor_imbalance_percent,vapor_liquidinlet_kgs,vapor_net_kgs,vapor_steaminlet_kgs,vapor_steamoutlet_kgs
100.0,9.1999024,30.575614,1126055.7,250.0,100.0,116.92,116.92,-0.0,-0.0,58.77809321390618,116.92,116.15139,80.69,-81.458609,32.47065,1119987.8,6067.899999999907,0.9525456810013633,-0.0,-0.76860911,80.69,-81.458609
100.0,12.560968,53.089257,1125890.0,500.0,100.0,116.92,116.92,-0.0,-3.7954268e-224,58.7746166691969,116.92,116.14452,80.69,-81.465481,32.639376,1119990.8,5899.199999999953,0.9610615689676539,-0.0,-0.77548058,80.69,-81.465481
100.0,15.959777,65.435676,1130837.6,750,100.0,116.92,116.92,-0.0,-3.4200629e-111,58.794266484489654,116.92,116.18335,80.69,-81.426652,37.407773,1119973.2,10864.40000000014,0.9129410955508738,-0.0,-0.73665217,80.69,-81.426652
100.0,17.824828,69.351656,1134288.8,1000,100.0,116.92,116.92,-0.0,-2.1883248e-59,58.779980770203935,116.92,116.15512,80.69,-81.454881,40.438331,1119959.9,14328.90000000014,0.947925232370802,-0.0,-0.76488087,80.69,-81.454881
100.0,19.20358,71.504477,1135498.1,1250,100.0,116.92,116.92,-0.0,-2.1716376e-44,58.776256262334904,116.92,116.14776,80.69,-81.462237,41.880024,1119954.7,15543.40000000014,0.9570414177717189,-0.0,-0.77223672,80.69,-81.462237
100.0,20.274256,70.699555,1137366.4,1500,100.0,116.92,116.92,-0.0,-4.2812127e-29,58.782915844339854,116.92,116.16092,80.69,-81.449081,42.212747,1119948.1,17418.299999999814,0.9407374395835916,-0.0,-0.75908104,80.69,-81.449081
99.99999999957437,21.477773,72.890542,1141210.6,1750,100.0,116.92,116.92,-0.0,-3.4668431e-10,58.78193411264612,116.92,116.15898,80.69,-81.451019,42.638839,1119938.2,21272.40000000014,0.9431393357293346,-0.0,-0.76101913,80.69,-81.451019
99.99999980281845,23.05957,79.840146,1143187.4,2000,100.0,116.92,116.92,-0.0,-1.6062666e-07,58.776731946763825,116.92,116.1487,80.69,-81.461302,43.001137,1119935.0,23252.399999999907,0.9558832073367208,-0.0,-0.77130216,80.69,-81.461302
99.99999998613565,24.500861,83.736735,1143271.6,2250,100.0,116.92,116.92,-0.0,-1.1294567e-08,58.77501138606346,116.92,116.1453,80.69,-81.464704,42.618557,1119937.4,23334.200000000186,0.9600987482959474,-0.0,-0.77470368,80.69,-81.464704
99.99999928486989,25.795635,85.300303,1143219.5,2500,100.0,116.92,116.92,-0.0,-5.8258632e-07,58.77446485501746,116.92,116.14422,80.69,-81.46578,42.799856,1119938.3,23281.199999999953,0.9614320733672079,-0.0,-0.77577954,80.69,-81.46578
99.99999587961895,27.012406,85.473674,1144144.5,2750,100.0,116.92,116.92,-0.0,-3.3567583e-06,58.77375638884671,116.92,116.14282,80.69,-81.467181,43.609886,1119937.2,24207.300000000047,0.9631648283554345,-0.0,-0.7771777,80.69,-81.467178
99.99989698317387,28.140247,85.849516,1145197.4,3000,99.99993157714677,116.92,116.91992,-0.0,-8.3918856e-05,58.77672688629117,116.92,116.14869,80.69,-81.46131,43.046864,1119936.4,25261.0,0.9557890692774818,-0.0,-0.7712262,80.69,-81.461226
